排名,游戏名称,游戏类型,平台,来源,榜单,监控日期,发布时间,开发公司,排名变化,地区
1,抓大鹅,--,抖音小游戏,引力引擎,抖音小游戏周榜,2026-02-25,周平均排名:1.0,--,--,中国
2,我的花园世界,--,抖音小游戏,引力引擎,抖音小游戏周榜,2026-02-25,周平均排名:2.0,--,↑25,中国
3,躺平发育,--,抖音小游戏,引力引擎,抖音小游戏周榜,2026-02-25,周平均排名:3.3,--,↑2,中国
4,羊了个羊：星球,--,抖音小游戏,引力引擎,抖音小游戏周榜,2026-02-25,周平均排名:5.0,--,↓2,中国
5,贪吃蛇大作战,--,抖音小游戏,引力引擎,抖音小游戏周榜,2026-02-25,周平均排名:5.0,--,↓1,中国
6,浪漫餐厅,--,抖音小游戏,引力引擎,抖音小游戏周榜,2026-02-25,周平均排名:5.7,--,↑5,中国
7,梦幻消除战,--,抖音小游戏,引力引擎,抖音小游戏周榜,2026-02-25,周平均排名:10.1,--,↑5,中国
8,炫彩节奏3D,--,抖音小游戏,引力引擎,抖音小游戏周榜,2026-02-25,周平均排名:11.4,--,↑2,中国
9,兵器王者,--,抖音小游戏,引力引擎,抖音小游戏周榜,2026-02-25,周平均排名:11.4,--,↓6,中国
10,超级消消,--,抖音小游戏,引力引擎,抖音小游戏周榜,2026-02-25,周平均排名:11.6,--,↓2,中国
11,狙击外星人,--,抖音小游戏,引力引擎,抖音小游戏周榜,2026-02-25,周平均排名:11.7,--,↓5,中国
12,你脑洞真棒,--,抖音小游戏,引力引擎,抖音小游戏周榜,2026-02-25,周平均排名:14.9,--,↑40,中国
13,火柴人逆袭,--,抖音小游戏,引力引擎,抖音小游戏周榜,2026-02-25,周平均排名:15.1,--,↑4,中国
14,生存33天,--,抖音小游戏,引力引擎,抖音小游戏周榜,2026-02-25,周平均排名:15.4,--,↑1,中国
15,全民象棋,--,抖音小游戏,引力引擎,抖音小游戏周榜,2026-02-25,周平均排名:16.1,--,↓8,中国
16,四季合合,--,抖音小游戏,引力引擎,抖音小游戏周榜,2026-02-25,周平均排名:16.3,--,↑18,中国
17,王者荣耀试玩,--,抖音小游戏,引力引擎,抖音小游戏周榜,2026-02-25,周平均排名:16.6,--,↓1,中国
18,球球大作战,--,抖音小游戏,引力引擎,抖音小游戏周榜,2026-02-25,周平均排名:16.7,--,↓9,中国
19,向往的生活,--,抖音小游戏,引力引擎,抖音小游戏周榜,2026-02-25,周平均排名:17.6,--,↑14,中国
20,疯狂水世界,--,抖音小游戏,引力引擎,抖音小游戏周榜,2026-02-25,周平均排名:18.9,--,↑23,中国
