排名,游戏名称,游戏类型,标签,热度指数,平台,来源,榜单,监控日期,发布时间,开发公司,排名变化
1,降三高成语对对碰,休闲,休闲:1名|新进榜,100,微信小游戏,引力引擎,微信小游戏人气周榜,2026-01-26,周平均排名:3.0,杭州奋游网络科技有限公司,新进榜
2,婆婆来找茬,休闲,休闲:2名|新进榜,98,微信小游戏,引力引擎,微信小游戏人气周榜,2026-01-26,周平均排名:4.3,个人开发者,新进榜
3,羊了个羊：星球,休闲,休闲:3名|4,96,微信小游戏,引力引擎,微信小游戏人气周榜,2026-01-26,周平均排名:6.0,北京简游科技有限公司,4
4,吞食超进化,休闲,休闲:4名|新进榜,94,微信小游戏,引力引擎,微信小游戏人气周榜,2026-01-26,周平均排名:6.0,个人开发者,新进榜
5,拼个图吧,休闲,休闲:5名|2,92,微信小游戏,引力引擎,微信小游戏人气周榜,2026-01-26,周平均排名:6.7,长沙三六互娱网络科技有限公司,2
6,国王的密室消除,休闲,休闲:6名|新进榜,90,微信小游戏,引力引擎,微信小游戏人气周榜,2026-01-26,周平均排名:8.0,杭州奋游网络科技有限公司,新进榜
7,脑瓜有点疼,休闲,休闲:7名|新进榜,88,微信小游戏,引力引擎,微信小游戏人气周榜,2026-01-26,周平均排名:8.0,--,新进榜
8,箭头会拐弯,休闲,休闲:8名|14,86,微信小游戏,引力引擎,微信小游戏人气周榜,2026-01-26,周平均排名:8.7,个人开发者,14
9,我猜你能过第二关,休闲,休闲:9名|新进榜,84,微信小游戏,引力引擎,微信小游戏人气周榜,2026-01-26,周平均排名:9.0,杭州奋游网络科技有限公司,新进榜
10,倒水挑战,休闲,休闲:10名|10,82,微信小游戏,引力引擎,微信小游戏人气周榜,2026-01-26,周平均排名:9.9,杭州同趣科技有限公司,10
11,通关我贼六,休闲,休闲:11名|64,80,微信小游戏,引力引擎,微信小游戏人气周榜,2026-01-26,周平均排名:11.6,武汉市多比特信息科技有限公司,64
12,这局不会玩,休闲,休闲:12名|9,78,微信小游戏,引力引擎,微信小游戏人气周榜,2026-01-26,周平均排名:12.0,--,9
13,抓大鹅,休闲,休闲:13名|8,76,微信小游戏,引力引擎,微信小游戏人气周榜,2026-01-26,周平均排名:15.3,青岛蓝飞互娱科技股份有限公司,8
14,线条消消消,休闲,休闲:14名|新进榜,74,微信小游戏,引力引擎,微信小游戏人气周榜,2026-01-26,周平均排名:15.7,厦门市听阅网络科技有限公司,新进榜
15,月之村,休闲,休闲:15名|新进榜,72,微信小游戏,引力引擎,微信小游戏人气周榜,2026-01-26,周平均排名:16.7,北京简游互娱科技有限公司,新进榜
