排名,游戏名称,游戏类型,平台,来源,榜单,监控日期,发布时间,开发公司,排名变化,地区
1,脑洞大咖,休闲,微信小游戏,引力引擎,微信小游戏人气周榜（休闲完整）,2026-02-04,周平均排名:1.6,广州指望科技有限公司,35,中国
2,找个喵,休闲,微信小游戏,引力引擎,微信小游戏人气周榜（休闲完整）,2026-02-04,周平均排名:1.9,长沙三六互娱网络科技有限公司,新进榜,中国
3,脑洞大反转,休闲,微信小游戏,引力引擎,微信小游戏人气周榜（休闲完整）,2026-02-04,周平均排名:5.5,广州指望科技有限公司,新进榜,中国
4,倒水挑战,休闲,微信小游戏,引力引擎,微信小游戏人气周榜（休闲完整）,2026-02-04,周平均排名:5.6,杭州同趣科技有限公司,9,中国
5,找茬婆婆,休闲,微信小游戏,引力引擎,微信小游戏人气周榜（休闲完整）,2026-02-04,周平均排名:7.1,--,新进榜,中国
6,修勾逃生巨人危机,休闲,微信小游戏,引力引擎,微信小游戏人气周榜（休闲完整）,2026-02-04,周平均排名:8.3,深圳市天善力思科技有限公司,17,中国
7,吞食超进化,休闲,微信小游戏,引力引擎,微信小游戏人气周榜（休闲完整）,2026-02-04,周平均排名:9.0,个人开发者,2,中国
8,抽卡大佬,休闲,微信小游戏,引力引擎,微信小游戏人气周榜（休闲完整）,2026-02-04,周平均排名:9.5,--,新进榜,中国
9,猎梦保卫战,休闲,微信小游戏,引力引擎,微信小游戏人气周榜（休闲完整）,2026-02-04,周平均排名:10.0,实丰卓越（深圳）传媒有限公司,新进榜,中国
10,羊了个羊：星球,休闲,微信小游戏,引力引擎,微信小游戏人气周榜（休闲完整）,2026-02-04,周平均排名:11.1,北京简游科技有限公司,7,中国
11,掌上消方块,休闲,微信小游戏,引力引擎,微信小游戏人气周榜（休闲完整）,2026-02-04,周平均排名:14.2,--,79,中国
12,婆婆来找茬,休闲,微信小游戏,引力引擎,微信小游戏人气周榜（休闲完整）,2026-02-04,周平均排名:17.0,个人开发者,12,中国
13,拼个图吧,休闲,微信小游戏,引力引擎,微信小游戏人气周榜（休闲完整）,2026-02-04,周平均排名:17.0,长沙三六互娱网络科技有限公司,10,中国
14,挑战消方块,休闲,微信小游戏,引力引擎,微信小游戏人气周榜（休闲完整）,2026-02-04,周平均排名:17.0,--,新进榜,中国
15,脑瓜有点疼,休闲,微信小游戏,引力引擎,微信小游戏人气周榜（休闲完整）,2026-02-04,周平均排名:19.2,--,9,中国
