排名,游戏名称,游戏类型,标签,热度指数,平台,来源,榜单,监控日期,发布时间,开发公司,排名变化
1,盖高楼,--,周平均排名:1.0,100,抖音小游戏,引力引擎,抖音小游戏周榜,2026-01-26,--,--,新进榜
2,玩到爽飞,--,周平均排名:1.9,98,抖音小游戏,引力引擎,抖音小游戏周榜,2026-01-26,--,--,1
3,兵器王者,--,周平均排名:3.1,96,抖音小游戏,引力引擎,抖音小游戏周榜,2026-01-26,--,--,1
4,超级消消,--,周平均排名:3.3,94,抖音小游戏,引力引擎,抖音小游戏周榜,2026-01-26,--,--,1
5,抓大鹅,--,周平均排名:3.7,92,抖音小游戏,引力引擎,抖音小游戏周榜,2026-01-26,--,--,1
6,羊了个羊：星球,--,周平均排名:5.1,90,抖音小游戏,引力引擎,抖音小游戏周榜,2026-01-26,--,--,--
7,合合合神鲲,--,周平均排名:7.0,88,抖音小游戏,引力引擎,抖音小游戏周榜,2026-01-26,--,--,新进榜
8,浪漫餐厅,--,周平均排名:7.9,86,抖音小游戏,引力引擎,抖音小游戏周榜,2026-01-26,--,--,1
9,我不是菜鸟,--,周平均排名:8.7,84,抖音小游戏,引力引擎,抖音小游戏周榜,2026-01-26,--,--,新进榜
10,全民象棋,--,周平均排名:9.0,82,抖音小游戏,引力引擎,抖音小游戏周榜,2026-01-26,--,--,1
11,点线落,--,周平均排名:9.0,80,抖音小游戏,引力引擎,抖音小游戏周榜,2026-01-26,--,--,新进榜
12,生存33天,--,周平均排名:9.3,78,抖音小游戏,引力引擎,抖音小游戏周榜,2026-01-26,--,--,4
13,贪吃蛇大作战,--,周平均排名:11.0,76,抖音小游戏,引力引擎,抖音小游戏周榜,2026-01-26,--,--,2
14,狙击外星人,--,周平均排名:11.4,74,抖音小游戏,引力引擎,抖音小游戏周榜,2026-01-26,--,--,2
15,苹果蛇,--,周平均排名:12.7,72,抖音小游戏,引力引擎,抖音小游戏周榜,2026-01-26,--,--,2
16,不服试试,--,周平均排名:13.2,70,抖音小游戏,引力引擎,抖音小游戏周榜,2026-01-26,--,--,新进榜
17,球球大作战,--,周平均排名:13.4,68,抖音小游戏,引力引擎,抖音小游戏周榜,2026-01-26,--,--,7
18,染色迷宫,--,周平均排名:14.9,66,抖音小游戏,引力引擎,抖音小游戏周榜,2026-01-26,--,--,6
19,梦幻消除战,--,周平均排名:16.7,64,抖音小游戏,引力引擎,抖音小游戏周榜,2026-01-26,--,--,2
20,双人游戏联机,--,周平均排名:17.8,62,抖音小游戏,引力引擎,抖音小游戏周榜,2026-01-26,--,--,--
